,Simplified,Date,Pinyin_x,Meaning,HSK_x,Traditional,English,Example Pinyin,Character Phrase,Example Explanation
92,原料,2022 7 14,yuánliào,raw material,5,原料,raw material,zhèzhǒng yuánliào yìyú jiāgōng,,也就是说，这种材料容易加工。
93,锅,2022 7 14,guō,pot,5,鍋,"pot, pan",wǒ bǎ tǔdòu fàng dào guō lǐ zhǔ,,也就是说，我把土豆放进锅里煮了。
94,海拔,2022 7 14,hǎibá,altitude,6,海拔,"height above sea level, elevation",zhè cūnzi hǎibá1000 mǐ,,也就是说，这个村庄海拔1000米。
95,漫画,2022 7 14,mànhuà,comics,6,漫畫,"caricature, cartoon, Japanese manga",tā duì mànhuà shū zhe le mí,,也就是说，他对漫画一窍不通。
96,设备,2022 7 13,shèbèi,equipment,5,設備,"(referring to a container in this text) equipment, device",zhè tào shèbèi kě tóurù yùnzhuǎn le ma,,也就是问，设备运行了吗？
97,优点,2022 7 13,yōudiǎn,advantage,4,優點,"merit, good points",tā duì zìjǐ de yōudiǎn hěn qiānxū,,也就是说，他对自己的功绩谦虚。
98,动力,2022 7 13,dònglì,power,6,動力,"power, motion, propulsion, force",huǒchē de dònglì tōngcháng shì zhēngqì huò diàn,,The motive power of trains is usually steam or electricity.
99,行为,2022 7 13,xíngwèi,Behavior,5,行為,behavior,nǐmen de xíngwéi wéibèi le xiéyì,,也就是说，你的行为违反了协议。
100,模仿,2022 7 13,mófǎng,imitate,5,模仿,"to imitate, to model on",mófǎng niǎor,,也就是“模仿鸟”。
101,遵守,2022 7 13,zūnshǒu,obey,5,遵守,"to abide by, to observe",tā dāying zūnshǒu fǎyuàn de cáijué,,也就是说，他承诺遵守法院的判决。
102,违反,2022 7 13,wéifǎn,violation,5,違反,"to violate, to go against",wéifǎn guīzé,,也就是“不遵守规则”。
103,原则,2022 7 13,yuánzé,in principle,5,原則,"principle, tenet",biéguǎn shì shéi yīlǜ àn yuánzé bànshì,,也就是说，不管是谁，我们都要按原则办事。
104,执行,2022 7 13,zhíxíng,implement,6,執行,"to implement, to carry out, to execute, to run",yúshì tā jiù zhíxíng guówáng de zhíwù le,,也就是说，然后他开始履行国王的职责。
105,稳定,2022 7 13,wěndìng,Stablize,5,穩定,stable,wěndìng de zhèngfǔ duì jīngjìzēngzhǎng shì zhòngyào de,,也就是说，稳定的政府对经济增长至关重要。
106,股票,2022 7 13,gǔpiào,stock,5,股票,"stock, shares",gǔpiàoshìchǎng jiàgé zhǎng le liǎng diǎn,,也就是说，证券交易所的价格上涨了两个百分点。
107,储蓄,2022 7 13,chǔxù,Savings,6,儲蓄,"to deposit money, to save, savings",chǔxù cúnkuǎn de lìlǜ shì4%,,The interest rate for the savings account is 4%.
108,行业,2022 7 13,xíngyè,industry,5,行業,"trade, profession, industry",zài fúzhuāng màoyì hángyè tā hěn yǒumíng qì,,也就是说，她在服装行业很有名气。
109,模型,2022 7 13,móxíng,Model,6,模型,"model, mold, matrix, pattern",móxíng zài shèjì、 kāifā hé kēxué zhōng guǎngfàn shǐyòng,,也就是说，模型广泛应用于设计、开发和科学领域。
110,基金,2022 7 13,jījīn,fund,6,基金,fund,tā rèn juān5 bàng zuòwéi shuǐzāi jiùjì jījīn,,也就是说，他认购了5英镑的防洪基金。
111,政策,2022 7 13,zhèngcè,policy,6,政策,policy,tā nǔlì biàngé Měiguó de wàijiāozhèngcè,,也就是说，他为美国外交政策的革命而奋斗。
112,利息,2022 7 13,lìxī,Interest,5,利息,interest,lìxī zhúyuè zìrán zēngjiā,,也就是说，几个月来的利息。
113,策略,2022 7 5,cèlvè,Strategy,6,策略,"tactics, to be tactful",zhè fèn tōngzhī cuòcí bù tài cèlüè,,也就是说，这个建议措辞不得体。
114,市场,2022 7 5,shìcháng,market,5,市場,market,fánmáng xuānnào de shìchǎng,,也就是“繁忙嘈杂的市场”。
115,任务,2022 7 5,rènwù,Task,4,任務,"task, mission",tāmen chénggōng dì wánchéng le rènwu,,They have accomplished their mission successfully.
116,严格,2022 7 5,yángé,strict,4,嚴格,"strict, rigorous",tā huì yángé'ànzhào yāoqiú qù zuò,,也就是说，严格按照要求进行。
117,辩护,2022 7 5,biànhù,defend,6,辯護,"to speak in defense of, to argue in favor of, to defend, to plead",tā jìn quánlì wéi bèigào biànhù,,也就是说，他尽力为被告辩护。
118,保守,2022 7 5,bǎoshǒu,keep,6,保守,conservative,wěiyuánhuì yǒu yīzhǒng bǎoshǒu de piānjiàn,,也就是说，委员会有保守的偏见。
119,着急,2022 6 29,zháojí,in a hurry,3,著急,anxious,bùyào zháojí mànmànlái,,也就是说，别担心，慢慢来。
120,担心,2022 6 29,dànxīn,Worry,3,擔心,to worry,méiyǒushénme hǎo dānxīn de,,也就是说，你放心好了。
121,讨好,2022 6 29,tǎohǎo,Please,6,討好,"to get the desired outcome, to win favor by fawning on sb",tā cóngbù qù tǎohǎo shàngsi,,也就是说，他从不试图讨好那些胜过他的人。
122,状态,2022 6 29,zhuàngtài,state,5,狀態,"state, status",tā yǐ niánmài chǔyú bàn tuìxiū zhuàngtài,,也就是说，他现在是个半退休的老人。
123,质量,2022 6 29,zhíliàng,quality,4,質量,quality,jīng jiǎnchá chǎnpǐn zhìliàng hégé,,也就是说，检查确认产品质量符合规格。
124,数量,2022 6 29,shùliàng,quantity,4,數量,"quantity, amount",zhìliàng wǎngwǎng bǐ shùliàng gèng zhòngyào,,也就是说，质量往往比数量重要。
125,经验,2022 6 29,jīngyàn,experience,4,經驗,experience,jīlěi（ huòdé） jīngyàn,,
126,经验,2022 6 22,jīngyàn,experience,4,經驗,experience,jīlěi（ huòdé） jīngyàn,,
127,分辨,2022 6 29,fēnbiàn,Distinguish,6,分辨,"to distinguish, to differentiate ",,,
128,分辨,2022 6 29,fēnbiàn,Distinguish,6,分辨,"to distinguish, to differentiate, to resolve",wǒ hěn nán fēnbiàn zhè duì shuāngbāotāi,,也就是说，我分不清这对双胞胎。
129,谦虚,2022 6 29,qiānxū,modesty,5,謙虛,modest,tā duì zìjǐ de chéngjiù hěn qiānxū,,也就是说，她对自己的成功很谦虚。
130,积极,2022 6 29,jījí,positive,4,積極,"positive, proactive",xuésheng men jījí huídá lǎoshī de wèntí,,也就是说，学生们热切地回答老师的问题。
131,责备,2022 6 29,zébèi,blame,5,責備,"to blame, to reproach",tā wúkě zébèi,,也就是说，他没有责任。
132,力量,2022 6 29,lìliàng,strength,5,力量,"strength, capability",rénrén xiǎng bànfǎ gègè chū lìliang,,也就是说，每个人都贡献他的思想和力量。
133,真相,2022 6 29,zhēnxiāng,the truth,6,真相,"truth, fact",,,
134,真相,2022 6 29,zhēnxiāng,the truth,6,真相,"the truth about sth, the actual facts",dāngjú xiǎngyào yǎngài zhēnxiàng,,也就是说，当局试图隐瞒真相。
135,诚实,2022 6 29,chéngshí,honest,4,誠實,honest,chéngshí de rén jué bùhuì shīyuē,,也就是说，诚实的人永远不会违背他的约定。
136,陷阱,2022 6 29,xiànjǐng,trap,6,陷阱,"pitfall, snare, trap",yǐ xiànjǐng bǔ tù,,也就是“用陷阱诱捕兔子”。
137,过滤,2022 6 23,guòlv̀,filter,6,過濾,"to filter, filter",guòlǜ wǎng kě cún zhù kōngqì zhòngdì chén'āi,,也就是说，过滤器将空气中的灰尘过滤掉。
138,分享,2022 6 23,fēnxiǎng,share,outside,分享,to share (good things such as joy and rights),,,
139,重复,2022 6 23,zhòngfù,repeat,5,重復,to repeat,lǎoshī yào tā chóngfù tā suǒ jiǎng dehuà,,也就是说，老师让他重复他说的话。
140,任意,2022 6 23,rènyì,Arbitrarily,6,任意,"arbitrary, at will, at random",tā zài wénzhāng zhōng rènyì cuàngǎi shìshí,,也就是说，在他的文章中，他大胆地说出了事实。
141,另外,2022 6 23,lìngwài,in addition,4,另外,"besides, in addition",lìngwài zhè shì chún yángmáo de shǒugǎn róuhé,,也就是说，另外，它是纯羊毛做的，非常柔软。
142,裁员,2022 6 22,cáiyuán,Lay off,6,裁員,"to cut staff, to lay off employees",gōngsī zhèngzài cáiyuán,,The company is laying off people.
143,解雇,2022 6 22,jiěgù,Dismiss,6,解雇,to fire someone from a job,jiěgù xǔduō gōngrén,,也就是“使许多工人失业”。
144,供给,2022 6 22,gōnggěi,supply,6,供給,"to furnish, to provide, supply (as in supply and demand)",wǒmen bìxū zhǔnbèi hǎo shíwù de gōngjǐ,,也就是说，我必须储备食物。
145,需求,2022 6 22,xūqíu,need,6,需求,"requirement, (economics) demand",mǎnzú xiāofèizhě de xūqiú,,也就是“满足消费者需求”。
146,展览,2022 6 22,zhǎnlǎn,exhibition,5,展覽,"put on display, exhibit ",màoyì zhǎnlǎn,,也就是“贸易展览会”。
147,经历,2022 6 22,jīnglì,experience,4,經歷,"to go through, to experience",jīnglì liǎng gè jiēduàn,,
148,惊讶,2022 6 22,liángyà,surprise,6,驚訝,"amazed, astonished, to surprise, amazing, astonishment, awe",tā cízhí de shì dàjiā dōu gǎndào jīngyà,,也就是说，她的辞职令人吃惊。
149,理论,2022 6 22,lǐlùn,theory,5,理論,theory ,bìxū zhùzhòng lǐlùn liánxì shíjì,,也就是说，必须重视理论联系实际。
150,沟通,2022 6 22,gōutōng,communicate,5,溝通,communicate,wǒmen yào jíshí gōutōng sīxiǎng,,也就是说，我们应该毫不拖延地互相沟通。
151,产生,2022 6 17,chǎnshēng,produce,5,產生,to emerge,guǎnlǐ bùmén de biàndòng huì chǎnshēng yīliánchuàn de wèntí,,也就是说，管理层的变动会带来很多问题。
152,指标,2022 6 17,zhǐbiāo,index,6,指標,"target, quota, index, indicator, sign, signpost, (computing) pointer",wánchéng shēngchǎn zhǐbiāo bùchéng wèntí,,也就是说，我们一定会完成定额的。
153,耐心,2022 6 17,nàixīn,patience,4,耐心,patience,tā nàixīn děngdài,,也就是说，他不着急。
154,观察,2022 6 17,guānchá,Observed,5,觀察,"to observe, to watch",tā shì gè guānchálì jí chà de rén,,也就是说，他是个观察力很弱的人。
155,通常,2022 6 17,tōngcháng,usually,5,通常,usually,wǎnshang wǒ tōngcháng zài jiā,,也就是说，我通常晚上在家。
156,平常,2022 6 17,píngcháng,usually,5,平常,"common, ordinary; mediocrity",zhèlǐ bái dùjuānhuā hěn píngcháng,,也就是说，白石南花在这里和泥土一样常见。
157,信号,2022 6 17,xìnhào,Signal,5,信號,signal,hóngdēng shì wēixiǎn xìnhào,,The red light is a dangerous signal.
158,集中,2022 6 17,jízhōng,concentrated,5,集中,"to concentrate, to focus; concentrated",gōngchǎng dōu jízhōng zài chéngshì de nán jiāo,,也就是说，工厂集中在城市的南郊。
159,失眠,2022 6 15,shīmián,Insomnia,5,失眠,to suffer from insomnia ,tā huàn shīmián zhèng měi wǎn zhǐ shuì liǎng sān gè xiǎoshí,,也就是说，她失眠，每晚只睡两三个小时。
160,青少年,2022 6 15,qīngshǎonián,teenager,5,青少年,"youngster, teenagers",liáotiān diànhuàxiàn de zhǔyào gùkè shì qīngshàonián,,也就是说，聊天线路是针对青少年的。
161,导航,2022 6 15,dǎoháng,navigation,6,導航,navigation,hángtú shì zhuānmén yòngyú dǎoháng de yīzhǒng dìtú,,也就是说，海图是专门为导航而调整的地图。
162,创业,2022 6 15,chuàngyè,Entrepreneurship,6,創業,"to begin an undertaking, to start a major task, to initiate",tā yòng fángchǎn yā kuǎn chuàngyè,,也就是说，他把房子抵押以创业。
163,过程,2022 6 15,guòchéng,process,4,過程,"course, process",wǒmen yīnggāi bǎ zhùyìlì fàng zài zuò shìqing de guòchéng shàng,,也就是说，我们应该把精力集中在做事的过程上。
164,解决,2022 6 15,jiějué,solve,3,解決,to solve,tā yùnyòng zhìhuì jiějué le zhè yī wèntí,,也就是说，她运用自己的智慧来解决这个问题。
165,年代,2022 6 10,niándài,Era,5,年代,decade of a century,Měiguó nánběi zhànzhēng niándài,,也就是“内战时期”。
166,后,2022 6 10,hòu,back,1,後,"after, afterwards, later",zuòwán zuòyè hòu tā kāishǐ kàn diànshì,,也就是说，完成学业后，她开始看电视。
167,工程师,2022 6 10,gōngchéngshī,engineer,5,工程師,engineer ,tā hǎoxiàng juéxīn yào zuò gōngchéngshī,,也就是说，他似乎一心想成为一名工程师。
168,歧视,2022 6 10,qíshì,discriminate,6,歧視,discrimination,fǎlǜ juébù qíshì qióngrén ér piāntǎn fùrén,,也就是说，法律不歧视穷人，也不偏袒富人。
169,天赋,2022 6 10,tiānfù,talent,6,天賦,"talent, gift, innate skill",tā yǒu zuò shī de tiānfù,,也就是说，他很善于写诗歌。
170,职位,2022 6 10,zhíwèi,Position,6,職位,"position, post",,,
171,职位,2022 6 10,zhíwèi,Position,6,職位,"post, office, position",tā yǐ cíqù dàchén zhíwèi,,也就是“她已辞去政府职务。”
172,收入,2022 6 10,shōurù,income,4,收入,income,tā de shōurù yǔ zhīchū bù xiāngchèn,,也就是说，她的开支与她的收入不相称。
173,移民,2022 6 10,yímín,migrant,5,移民,immigrant,wǒ xiǎng ná yī fèn shēnqǐng yímín qiānzhèng de biǎogé,,也就是说，我想要一张移民签证表。
174,土地,2022 6 10,tǔdì,land,5,土地,land (property),wǒ de tǔdì yǔ nǐ de tǔdì jiē jiè,,也就是说，我的土地与你的接壤。
175,发展,2022 6 10,fāzhǎn,develop,4,發展,"to develop, to promote",shōurù hé jiānglái de fāzhǎn nǎge gèng zhòngyào,,"Which is more important, income or future development?"
176,往往,2022 6 8,wǎngwǎng,often,4,往往,"often, usually",niǎolèi de dòuzhēng wǎngwǎng bǐjiào hépíng,,也就是说，在鸟类中，比赛往往是一种更和平的性质。
177,具备,2022 6 8,jùbèi,have,5,具備,"to have, to possess",nǐ yǒu méiyǒu zuò zhèzhǒng gōngzuò bìxū jùbèi de nàixīn,,也就是问，你对这项工作有必要的耐心吗？
178,讲究,2022 6 8,jiǎngjīu,Extension,5,講究,"to be particular about, to stress; exquisite",nǐ bùgāi duì chuānzhuó zhème jiǎngjiu,,也就是说，你不应该对自己的穿着如此挑剔。
179,长辈,2022 6 8,chángbèi,elder,5,長輩,senior member of a family,wǒmen zūnjìng zhǎngbèi,,也就是说，我们尊重长辈。
180,动作,2022 6 1,dòngzuò,action,4,動作,"action, movement",wǒ juéde chōuyān zhège dòngzuò kànqǐlái hěn shuài,,也就是说，我觉得抽烟的样子很帅。
181,米,2022 6 1,mǐ,Meter,3,米,meter,,,
182,米,2022 6 1,mǐ,Meter,3,米,metre,wǒ néng tiào 6 mǐ duō,,也就是说，我能跳6米以上。
183,弱,2022 6 1,ruò,weak,5,弱,weak,tā niánjì hěn lǎo yīn'ér shēntǐ hěn ruò,,也就是说，他很老，因此很虚弱。
184,天生,2022 6 1,tiānshēng,Born,6,天生,"nature, disposition, innate, natural",niǎo tiānshēng jiù huì fēi,,也就是说，鸟生下来就会飞了。
185,部位,2022 6 1,bùwèi,Site,6,部位,"position, place",nǎge bùwèi zuì tòng？,,也就是问，哪个地方最疼？
