,Vocab,Date
0,转一转,2022 10 29
1,语言,2022 10 29
2,官方,2022 10 29
3,马来语,2022 10 29
4,泰米尔语,2022 10 29
5,反应,2022 10 29
6,方言,2022 10 29
7,我有衣服只能干洗,2022 10 29
8,再试一次,2022 10 29
9,物价,2022 10 29
10,勉强,2022 10 29
11,如果你不想上课就不要勉强,2022 10 29
12,含蓄,2022 10 29
13,直接,2022 10 29
14,典型,2022 10 29
15,表情包,2022 10 29
16,打交道,2022 10 29
17,和日本人打交道,2022 10 29
18,外向,2022 10 29
19,内向,2022 10 29
20,观点,2022 10 29
21,升职,2022 10 29
22,成绩,2022 10 29
23,表达,2022 10 29
24,理性的,2022 10 29
25,感性的,2022 10 29
26,证据,2022 10 29
27,肢体语言,2022 10 29
28,大伯爸爸的哥哥,2022 10 15
29,叔叔爸爸的弟弟,2022 10 15
30,航空,2022 10 15
31,产业,2022 10 15
32,领导,2022 10 15
33,证书,2022 10 15
34,世界最漂亮的地方之一,2022 10 15
35,风格,2022 10 15
36,鲸鱼,2022 10 15
37,属于,2022 10 15
38,首都,2022 10 15
39,百叶窗,2022 10 15
40,即使但是,2022 10 15
41,新闻,2022 10 15
42,兴趣,2022 10 15
43,集中注意力,2022 10 15
44,独奏,2022 10 9
45,合奏,2022 10 9
46,球赛,2022 10 9
47,群体免疫,2022 10 9
48,舅妈,2022 10 9
49,舅舅,2022 10 9
50,硕士,2022 10 9
51,校长,2022 10 9
52,症状,2022 10 9
53,路怒症,2022 10 9
54,例句,2022 10 9
55,退步,2022 10 9
56,悠久的历史,2022 10 9
57,典型,2022 10 9
58,馅儿,2022 10 9
59,中秋节,2022 10 9
60,月饼,2022 10 9
61,保质期,2022 10 9
62,保修期,2022 10 9
63,过期,2022 10 9
64,病例,2022 9 2
65,增长一倍以上,2022 9 2
66,报告,2022 9 2
67,虽然但是,2022 9 2
68,未来,2022 9 2
69,区别,2022 9 2
70,跟的区别是,2022 9 2
71,算是,2022 9 1
72,我们算是朋友,2022 9 1
73,汇率,2022 9 1
74,人民币汇率降低用人民币可以换到更多的美元,2022 9 1
75,社保,2022 9 1
76,潮,2022 8 31
77,湿疹,2022 8 31
78,拖把,2022 8 31
79,细腻,2022 8 31
80,湿的地方皮肤比较好,2022 8 31
81,粗糙,2022 8 31
82,干的地方皮肤比较粗糙,2022 8 31
83,拥挤,2022 8 31
84,生活用品,2022 8 31
85,自动贩卖机,2022 8 31
86,收纳箱,2022 8 31
87,行李箱,2022 8 31
88,极简主义,2022 8 31
89,记录,2022 8 31
90,营养品,2022 8 31
91,益生菌,2022 8 31
92,抗氧化,2022 8 31
93,红景天,2022 8 31
94,保养,2022 8 31
95,有效率,2022 8 31
96,体检,2022 8 31
97,他们需要停产一个星期,2022 8 24
98,费用很高,2022 8 24
99,误解,2022 8 24
100,必要条件,2022 8 24
101,能够抵抗地震的楼,2022 8 24
102,海底隧道可以的在很大的地震中生存,2022 8 24
103,局外人,2022 8 24
104,他想要宰我,2022 8 24
105,假设,2022 8 24
106,间接,2022 8 24
107,通过听别人问问题来间接了解他们的想法,2022 8 24
108,教训,2022 8 24
109,工资,2022 8 24
110,他们只给我一半的工资他们在耍我,2022 8 24
111,信息,2022 8 24
112,另一方面,2022 8 24
113,细节,2022 8 24
114,思路,2022 8 24
115,这是一个信任度高的社会,2022 8 24
116,健全的法律,2022 8 24
117,案件,2022 8 24
118,组装,2022 8 24
119,怀疑,2022 8 24
120,批发,2022 8 24
121,浙江义乌,2022 8 24
122,内疚,2022 8 18
123,碰面,2022 8 18
124,我和朋友在公园碰面,2022 8 18
125,之后,2022 8 18
126,我们在一个很好的饭馆吃饭之后来到一个湖边,2022 8 18
127,藏地,2022 8 18
128,饲料,2022 8 18
129,牛在大城市吃饲料不吃草,2022 8 18
130,工业农场,2022 8 18
131,牧场,2022 8 18
132,海拔米,2022 8 18
133,支持生态系统,2022 8 18
134,对环境的伤害小一点,2022 8 18
135,高温预警,2022 8 18
136,高原反应高反,2022 8 18
137,不适合我,2022 8 18
138,兼职,2022 8 18
139,我的兼职工作停了,2022 8 18
140,我三年没见过家人了,2022 8 18
141,很多人觉得深圳是文化荒漠,2022 8 18
142,社交,2022 8 18
143,我不喜欢和很社交的人交朋友,2022 8 18
144,受人欢迎的人,2022 8 18
145,决定,2022 8 18
146,他们理解我的决定,2022 8 18
147,我们尝试了租车去那里,2022 8 18
148,漫山遍野都是花,2022 8 18
149,土路,2022 8 18
150,调头,2022 8 18
151,在土路很难调头,2022 8 18
152,历史古迹,2022 8 18
153,这个寺庙是个历史古迹,2022 8 18
154,僧人很高兴地接待我们,2022 8 18
155,他们会有麻烦,2022 8 18
156,古董,2022 8 18
157,恭喜你成功了,2022 8 18
158,我理解你的意思但是这和我们的话题没有关系,2022 7 28
159,我理解你的意思但是我们在讨论两件不一样的事情,2022 7 28
160,上海是世界上最大的港口城市之一,2022 7 28
161,上海是世界上十个最大的港口之一,2022 7 28
162,轮船,2022 7 28
163,睡的比猪死,2022 7 28
164,开发,2022 7 28
165,飞行模式,2022 7 28
166,展示,2022 7 28
167,烟花,2022 7 28
168,临时,2022 7 28
169,早午饭,2022 7 27
170,很容易找到位置,2022 7 27
171,声调,2022 7 27
172,闹笑话,2022 7 27
173,隐藏,2022 7 27
174,大无语,2022 7 27
175,当你的老板做了一些让你生气的事情但是你不能骂回去这时候可以说大无语,2022 7 27
176,吐槽,2022 7 27
177,凡尔赛,2022 7 27
178,躺平,2022 7 27
179,拴,2022 7 27
180,我真的栓,2022 7 27
181,土,2022 7 27
182,洋气,2022 7 27
183,阳气太重,2022 7 27
184,阴气太重,2022 7 27
185,澳洲,2022 7 27
186,处理,2022 7 27
187,有经验,2022 7 27
188,洗涤灵,2022 7 22
189,整天,2022 7 22
190,滋生细菌,2022 7 22
191,淡,2022 7 22
192,咖啡很浓茶比较淡,2022 7 22
193,过于兴奋,2022 7 22
194,咖啡让我过于兴奋,2022 7 22
195,心惊肉跳,2022 7 22
196,你做过的最调皮的事是什么,2022 7 22
197,反应,2022 7 22
198,他的朋友是什么反应,2022 7 22
199,期末考试,2022 7 22
200,炸药,2022 7 22
201,理科,2022 7 22
202,从我小的时候开始,2022 7 22
203,戒烟,2022 7 22
204,毒品,2022 7 22
205,病人,2022 7 22
206,安眠药,2022 7 22
207,处方,2022 7 22
208,执照,2022 7 22
209,申请执照的流程很严格,2022 7 22
210,非处方药,2022 7 22
211,化学成分,2022 7 22
212,研发成本,2022 7 22
213,如果没有执照他们前期投入的成本就浪费了,2022 7 22
214,成本,2022 7 22
215,浪费,2022 7 22
216,效果,2022 7 22
217,保健品,2022 7 22
218,素食主义者,2022 7 22
219,严格的素食主义者,2022 7 22
220,锅边素,2022 7 22
221,夏令时,2022 7 15
222,病例,2022 7 15
223,结束,2022 7 15
224,签证,2022 7 15
225,群体免疫,2022 7 15
226,美国已经群体免疫了,2022 7 15
227,志愿者,2022 7 15
228,批准,2022 7 15
229,批准的疫苗,2022 7 15
230,症状,2022 7 15
231,因为打了疫苗他的症状不太严重,2022 7 15
232,应用于,2022 7 15
233,人工智能可以应用于药物学技术,2022 7 15
234,过去,2022 7 15
235,在过去需要用试错的方式来研究新的药物,2022 7 15
236,预测,2022 7 15
237,人工智能可以帮助预测药品是否有毒,2022 7 15
238,普及,2022 7 15
239,电脑已经在中国普及了,2022 7 15
240,放心,2022 7 15
241,决策,2022 7 15
242,每个决策都有机会成本,2022 7 15
243,风险,2022 7 15
244,继续,2022 7 15
245,体验很差,2022 7 15
246,小说,2022 7 15
247,调料,2022 7 14
248,调料是亚洲传来的,2022 7 14
249,对外贸易逆差,2022 7 14
250,原料,2022 7 14
251,法国人喜欢保留原料原有的味道,2022 7 14
252,成百上千,2022 7 14
253,每个中午有成百上千的外卖,2022 7 14
254,成本,2022 7 14
255,刚需,2022 7 14
256,人们中午吃饭是刚需,2022 7 14
257,必需品,2022 7 14
258,订单,2022 7 14
259,不要脸脸皮很厚,2022 7 14
260,锅,2022 7 14
261,电饭锅,2022 7 14
262,网格,2022 7 14
263,海拔,2022 7 14
264,漫画,2022 7 14
265,我想看关于功夫的漫画书,2022 7 14
266,世界名著,2022 7 14
267,世界儿童文学经典丛书,2022 7 14
268,非虚构,2022 7 14
269,社会科学类社科类,2022 7 14
270,设备,2022 7 13
271,取代,2022 7 13
272,自动化技术可能会取代人工但是技术也会产生新的岗位,2022 7 13
273,优点,2022 7 13
274,我们人类的优点是有创造力,2022 7 13
275,动力,2022 7 13
276,我没有动力帮助公司,2022 7 13
277,行为,2022 7 13
278,这样的行为不好,2022 7 13
279,老一辈,2022 7 13
280,我们不是老一辈我们不应该继续用他们教育孩子的方式,2022 7 13
281,鲨鱼,2022 7 13
282,模仿,2022 7 13
283,因为小孩子会模仿大人所以大人需要有和小孩子一样的行为准则,2022 7 13
284,桌椅,2022 7 13
285,遵守,2022 7 13
286,不可以让桌椅发出声音这是他们必须遵守的规则,2022 7 13
287,违反,2022 7 13
288,如果他们违反规则我需要警告他们,2022 7 13
289,原则,2022 7 13
290,这是我对待小孩子最重要的原则,2022 7 13
291,执行,2022 7 13
292,如果不能执行就不要建立这个规则,2022 7 13
293,打钱,2022 7 13
294,汇率,2022 7 13
295,稳定,2022 7 13
296,股票,2022 7 13
297,理财投资,2022 7 13
298,储蓄,2022 7 13
299,长期投资,2022 7 13
300,交易策略,2022 7 13
301,风险,2022 7 13
302,行业,2022 7 13
303,新兴产业,2022 7 13
304,模型,2022 7 13
305,基金,2022 7 13
306,政策,2022 7 13
307,通货膨胀通胀,2022 7 13
308,元宇宙,2022 7 13
309,骗局,2022 7 13
310,利率,2022 7 13
311,利息,2022 7 13
312,分行,2022 7 13
313,我需要把我的人民币换成美元打到美国的银行卡上,2022 7 13
314,电汇,2022 7 13
315,策略,2022 7 5
316,按钮,2022 7 5
317,我对他们没有信心,2022 7 5
318,我不相信他们,2022 7 5
319,我担心他们,2022 7 5
320,店面,2022 7 5
321,市场,2022 7 5
322,任务,2022 7 5
323,严格,2022 7 5
324,辩护,2022 7 5
325,调情,2022 7 5
326,保守,2022 7 5
327,着急,2022 6 29
328,赖床,2022 6 29
329,四点半还醒着,2022 6 29
330,担心,2022 6 29
331,病例,2022 6 29
332,症状,2022 6 29
333,讨好,2022 6 29
334,企业文化,2022 6 29
335,状态,2022 6 29
336,质量,2022 6 29
337,数量,2022 6 29
338,追求精神的,2022 6 29
339,经验,2022 6 29
340,分辨,2022 6 29
341,谦虚,2022 6 29
342,积极,2022 6 29
343,经济困难的人,2022 6 29
344,污渍,2022 6 29
345,责备,2022 6 29
346,力量,2022 6 29
347,谎话,2022 6 29
348,善意的谎话,2022 6 29
349,真相,2022 6 29
350,诚实,2022 6 29
351,高级的诚实是用更高级的方式表达真相,2022 6 29
352,陷阱,2022 6 29
353,逃跑,2022 6 29
354,土匪,2022 6 29
355,打交道,2022 6 29
356,思维导图,2022 6 29
357,列表,2022 6 23
358,过滤,2022 6 23
359,思路,2022 6 23
360,分享,2022 6 23
361,假设,2022 6 23
362,重复,2022 6 23
363,任意,2022 6 23
364,降温,2022 6 23
365,倒了,2022 6 23
366,运,2022 6 23
367,线上办公,2022 6 23
368,一模一样,2022 6 23
369,另外,2022 6 23
370,裁员,2022 6 22
371,解雇,2022 6 22
372,供给,2022 6 22
373,需求,2022 6 22
374,兼职,2022 6 22
375,升职,2022 6 22
376,创业公司,2022 6 22
377,一份工作,2022 6 22
378,工作狂,2022 6 22
379,美术馆,2022 6 22
380,展览,2022 6 22
381,意识到,2022 6 22
382,职业方向,2022 6 22
383,数据分析,2022 6 22
384,数据分析师,2022 6 22
385,经验,2022 6 22
386,经历,2022 6 22
387,研究生,2022 6 22
388,惊讶,2022 6 22
389,惊喜,2022 6 22
390,理论,2022 6 22
391,企业文化,2022 6 22
392,人际关系,2022 6 22
393,搞人际关系,2022 6 22
394,局外人,2022 6 22
395,沟通,2022 6 22
396,多巴胺,2022 6 17
397,运动会让人的身体产生多巴胺,2022 6 17
398,产生,2022 6 17
399,心理健康,2022 6 17
400,抑郁症,2022 6 17
401,指标,2022 6 17
402,停车的位置,2022 6 17
403,停车位,2022 6 17
404,车道,2022 6 17
405,减速,2022 6 17
406,遇到红灯需要让卡车减速,2022 6 17
407,绕过,2022 6 17
408,耐心,2022 6 17
409,路症,2022 6 17
410,不一定,2022 6 17
411,女性朋友,2022 6 17
412,观察,2022 6 17
413,通常,2022 6 17
414,平常,2022 6 17
415,信号,2022 6 17
416,心流状态,2022 6 17
417,电焊可以帮我进入心流状态,2022 6 17
418,集中,2022 6 17
419,我需要高度集中注意力,2022 6 17
420,即兴,2022 6 17
421,即兴创作,2022 6 17
422,即兴演讲,2022 6 17
423,接触即兴,2022 6 17
424,手眼协调,2022 6 17
425,青年旅社,2022 6 15
426,明智的决定,2022 6 15
427,明智的,2022 6 15
428,睡眠,2022 6 15
429,睡眠质量,2022 6 15
430,失眠,2022 6 15
431,焦虑,2022 6 15
432,青少年,2022 6 15
433,控制欲,2022 6 15
434,我妈妈的控制欲很强,2022 6 15
435,导航,2022 6 15
436,无序,2022 6 15
437,创业,2022 6 15
438,过程,2022 6 15
439,解决,2022 6 15
440,长远,2022 6 15
441,人生哲学,2022 6 15
442,幸福感,2022 6 15
443,荔枝,2022 6 10
444,绿色食品商店,2022 6 10
445,年代,2022 6 10
446,后,2022 6 10
447,吸收新鲜的事物,2022 6 10
448,工程师,2022 6 10
449,程序员,2022 6 10
450,歧视,2022 6 10
451,才能,2022 6 10
452,天赋,2022 6 10
453,职位,2022 6 10
454,收入,2022 6 10
455,移民,2022 6 10
456,第一代,2022 6 10
457,非技术性的,2022 6 10
458,土地,2022 6 10
459,发展,2022 6 10
460,开发,2022 6 10
461,未开发的,2022 6 10
462,私人的,2022 6 10
463,单身,2022 6 10
464,缘分,2022 6 10
465,遇见对的人是缘分,2022 6 10
466,了解喝茶的入门简单了解茶桌礼仪哔哩哔哩,2022 6 8
467,中国茶文化有很多礼仪这些礼仪往往都伴随着悠久的历史背景所以我们喝茶时需要注意这些礼仪,2022 6 8
468,往往,2022 6 8
469,悠久的历史,2022 6 8
470,今天我们来聊一聊喝茶时需要注意的小细节,2022 6 8
471,中国茶文化绝不仅仅是泡一杯好茶,2022 6 8
472,不仅仅,2022 6 8
473,泡茶,2022 6 8
474,还伴随着很多茶礼仪,2022 6 8
475,这绝对不是穷讲究,2022 6 8
476,穷讲究,2022 6 8
477,而是在漫长的茶文化发展过程中约定俗成的行为,2022 6 8
478,过程中,2022 6 8
479,起码出去喝茶时人家一看知道我们是具备一些茶文化底蕴的,2022 6 8
480,起码至少,2022 6 8
481,具备,2022 6 8
482,而不是任人忽悠的小白,2022 6 8
483,任人,2022 6 8
484,忽悠,2022 6 8
485,经常有人问倒茶如何回礼很多人用说谢谢或者举杯子扶杯子的方式但是这样的礼节不适用于喝茶通常我们会用叩手礼来作为喝茶回礼,2022 6 8
486,我被问过最多的一个问题就是当别人给我倒茶时我该怎么样去回礼,2022 6 8
487,第一种是说谢谢,2022 6 8
488,说谢谢当然没有问题,2022 6 8
489,可以当你和朋友正聊的热火朝天,2022 6 8
490,我倒茶给你你出于礼貌对我所谢谢,2022 6 8
491,这个时候你和朋友的聊天就被迫中止了,2022 6 8
492,大多数人说完谢谢以后的下一句就是,2022 6 8
493,诶我刚才正在说什么来着我刚才说到哪了,2022 6 8
494,第二种呢是在倒茶时用双手端起杯子,2022 6 8
495,第一这样很烫手,2022 6 8
496,第二万一我手抖的话会把汤汁滴落到你的手上,2022 6 8
497,还有用手去扶杯子也是同理,2022 6 8
498,那我们全国通用的一个手势,2022 6 8
499,回礼的手势就是叩手礼,2022 6 8
500,叩首礼来源于一个关于乾隆皇帝的故事,2022 6 8
501,相传乾隆皇帝下江南微服私访时去到当地一个茶馆,2022 6 8
502,店小二行云流水的表演了一套长流壶茶艺,2022 6 8
503,这种茶艺在我国的四川地区至今还很常见,2022 6 8
504,讲究,2022 6 8
505,我爸爸是个讲究人,2022 6 8
506,中国人讲究喝茶,2022 6 8
507,喝茶有很多讲究,2022 6 8
508,晚辈,2022 6 8
509,长辈,2022 6 8
510,同辈,2022 6 8
511,回礼,2022 6 8
512,注意力差,2022 6 1
513,相关的,2022 6 1
514,相关的话题,2022 6 1
515,动作,2022 6 1
516,俯卧撑,2022 6 1
517,训练胸部肌肉,2022 6 1
518,训练有氧的能力,2022 6 1
519,无氧训练,2022 6 1
520,三组俯卧撑,2022 6 1
521,每组个,2022 6 1
522,健身单车,2022 6 1
523,我每天骑分钟健身单车,2022 6 1
524,跑步机,2022 6 1
525,心肌,2022 6 1
526,心肺,2022 6 1
527,有氧运动,2022 6 1
528,椭圆机,2022 6 1
529,手臂,2022 6 1
530,身高,2022 6 1
531,米,2022 6 1
532,体重,2022 6 1
533,器械,2022 6 1
534,冲刺,2022 6 1
535,百米冲刺,2022 6 1
536,小孩子,2022 6 1
537,力量训练,2022 6 1
538,平均地训练肌肉群语法,2022 6 1
539,平均温度平均收入,2022 6 1
540,平均提高,2022 6 1
541,腹部肌肉,2022 6 1
542,腹肌,2022 6 1
543,卧推,2022 6 1
544,弱,2022 6 1
545,天生,2022 6 1
546,泳姿,2022 6 1
547,自由泳,2022 6 1
548,蛙泳,2022 6 1
549,蝶泳,2022 6 1
550,姿势很美,2022 6 1
551,仰泳,2022 6 1
552,划船机,2022 6 1
553,手臂力量,2022 6 1
554,引体向上,2022 6 1
555,举重,2022 6 1
556,健美,2022 6 1
557,部位,2022 6 1
558,普拉提,2022 6 1
559,瑜伽球,2022 6 1
560,保持个小时的睡眠,2022 6 1
