,Characters,Date,Pinyin,Meaning,cluster
0,洗涤灵,2022-07-22,xǐdílíng,Washing spirit,0
26,锅边素,2022-07-22,guōbiānsù,Pista,0
36,绿皮火车,2022-07-21,lv̀píhuǒchē,Green leather train,0
71,电饭锅,2022-07-14,diànfànguō,Rice cooker,0
193,手眼协调,2022-06-17,shǒuyǎnxiédiào,Hand -eye coordination,0
24,素食主义者,2022-07-22,sùshízhǔyìzhě,vegetarian,0
25,严格的素食主义者,2022-07-22,yángédesùshízhǔyìzhě,Strict vegetarian,0
196,睡眠,2022-06-15,shùimián,Sleep,1
58,继续,2022-07-15,jìxù,continue,1
187,观察,2022-06-17,guānchá,Observed,1
45,结束,2022-07-15,jiéshù,Finish,1
142,降温,2022-06-23,jiàngwēn,Cool down,1
88,遵守,2022-07-13,zūnshǒu,obey,1
89,违反,2022-07-13,wéifǎn,violation,1
41,邀请,2022-07-21,yāoqǐng,invite,1
74,漫画,2022-07-14,mànhuà,comics,1
218,天赋,2022-06-10,tiānfù,talent,1
16,处方,2022-07-22,chùfāng,prescription,1
73,海拔,2022-07-14,hǎibá,altitude,1
91,执行,2022-07-13,zhíxíng,implement,1
29,直播,2022-07-21,zhíbō,live streaming,1
131,逃跑,2022-06-29,táopǎo,Run away,1
147,另外,2022-06-23,lìngwài,in addition,1
47,群体免疫,2022-07-15,qúntǐmiǎnyì,Group immunity,1
40,慢热,2022-07-21,mànrè,Slow heat,1
217,才能,2022-06-10,cáinéng,Talent,1
197,失眠,2022-06-15,shīmián,Insomnia,1
12,戒烟,2022-07-22,jièyān,Quit smoking,1
202,无序,2022-06-15,wúxù,Disorderly,1
43,夏令时,2022-07-15,xiàlìngshí,summer time,1
152,兼职,2022-06-22,jiānzhí,part time,1
216,歧视,2022-06-10,qíshì,discriminate,1
139,假设,2022-06-23,jiǎshè,Assume,1
199,青少年,2022-06-15,qīngshǎonián,teenager,1
188,通常,2022-06-17,tōngcháng,usually,1
191,集中,2022-06-17,jízhōng,concentrated,1
173,沟通,2022-06-22,gōutōng,communicate,1
52,过去,2022-07-15,guòqù,past,1
229,缘分,2022-06-10,yuánfēn,fate,1
172,局外人,2022-06-22,júwàirén,outsider,1
1,整天,2022-07-22,zhěngtiān,All day,1
221,移民,2022-06-10,yímín,migrant,1
83,行为,2022-07-13,xíngwèi,Behavior,1
51,应用于,2022-07-15,yìngyòngyú,Applied,1
127,真相,2022-06-29,zhēnxiāng,the truth,1
17,执照,2022-07-22,zhízhào,license,1
141,任意,2022-06-23,rènyì,Arbitrarily,1
106,着急,2022-06-29,zháojí,in a hurry,1
66,刚需,2022-07-14,gāngxū,Just need,1
183,耐心,2022-06-17,nàixīn,patience,1
112,讨好,2022-06-29,tǎohǎo,Please,1
55,放心,2022-07-15,fàngxīn,rest assured,1
104,保守,2022-07-05,bǎoshǒu,keep,1
162,数据分析师,2022-06-22,shùjùfēnxīshī,Data Analyst,2
171,搞人际关系,2022-06-22,gǎorénjìguānxì,Interpersonal relationship,2
78,社会科学类社科类,2022-07-14,shèhùikēxuélèishèkēlèi,Social Sciences Social Sciences,2
170,人际关系,2022-06-22,rénjìguānxì,Interpersonal relationship,2
161,数据分析,2022-06-22,shùjùfēnxī,data analysis,2
215,程序员,2022-06-10,chéngxùyuán,programmer,2
75,世界名著,2022-07-14,shìjièmíngzhù,World famous,2
76,世界儿童文学经典丛书,2022-07-14,shìjièértóngwénxuéjīngdiǎncóngshū,World Children's Literature Classic Series,2
134,思维导图,2022-06-29,sīwéidǎotú,mind Mapping,2
81,优点,2022-07-13,yōudiǎn,advantage,3
79,设备,2022-07-13,shèbèi,equipment,3
115,质量,2022-06-29,zhíliàng,quality,3
42,尝试,2022-07-21,chángshì,try,3
46,签证,2022-07-15,qiānzhèng,visa,3
53,预测,2022-07-15,yùcè,predict,3
203,创业,2022-06-15,chuàngyè,Entrepreneurship,3
70,锅,2022-07-14,guō,pot,3
72,网格,2022-07-14,wǎnggé,grid,3
34,军队,2022-07-21,jūndùi,army,3
61,调料,2022-07-14,diàoliào,seasoning,3
87,桌椅,2022-07-13,zhuōyǐ,Table and chair,3
180,车道,2022-06-17,chēdào,Lane,3
107,赖床,2022-06-29,làichuáng,Bed,3
178,指标,2022-06-17,zhǐbiāo,index,3
225,发展,2022-06-10,fāzhǎn,develop,3
56,决策,2022-07-15,juécè,decision making,3
158,展览,2022-06-22,zhǎnlǎn,exhibition,3
148,裁员,2022-06-22,cáiyuán,Lay off,3
99,市场,2022-07-05,shìcháng,market,3
212,后,2022-06-10,hòu,back,3
98,店面,2022-07-05,diànmiàn,Store,3
82,动力,2022-07-13,dònglì,power,3
94,按钮,2022-07-05,ànnǐu,Button,3
157,美术馆,2022-06-22,měizhúguǎn,Art gallery,3
9,炸药,2022-07-22,zhàyào,Explosive,3
123,污渍,2022-06-29,wūzì,Stain,3
124,责备,2022-06-29,zébèi,blame,3
118,经验,2022-06-29,jīngyàn,experience,3
37,照顾,2022-07-21,zhàogù,take care of,3
200,控制欲,2022-06-15,kòngzhìyù,Desire,3
50,症状,2022-07-15,zhèngzhuàng,symptom,3
209,荔枝,2022-06-10,lìzhī,litchi,3
189,信号,2022-06-17,xìnhào,Signal,3
184,路症,2022-06-17,lùzhèng,Path,3
163,经验,2022-06-22,jīngyàn,experience,3
144,运,2022-06-23,yùn,transport,3
68,订单,2022-07-14,dìngdān,Order,3
150,供给,2022-06-22,gōnggěi,supply,3
181,减速,2022-06-17,jiǎnsù,slow down,3
100,任务,2022-07-05,rènwù,Task,3
111,症状,2022-06-29,zhèngzhuàng,symptom,3
132,土匪,2022-06-29,tǔfěi,bandit,3
136,过滤,2022-06-23,guòlv̀,filter,3
201,导航,2022-06-15,dǎoháng,navigation,3
85,鲨鱼,2022-07-13,shāyú,shark,3
224,土地,2022-06-10,tǔdì,land,3
3,淡,2022-07-22,dàn,light,3
153,升职,2022-06-22,shēngzhí,Promotion,3
175,产生,2022-06-17,chǎnshēng,produce,3
5,心惊肉跳,2022-07-22,xīnliángròutiào,Shocking,4
32,笑点,2022-07-21,xiàodiǎn,Humor,4
198,焦虑,2022-06-15,jiāolv̀,anxiety,4
121,积极,2022-06-29,jījí,positive,4
205,解决,2022-06-15,jiějué,solve,4
146,一模一样,2022-06-23,yīmóyīyáng,Exactly the same,4
4,过于兴奋,2022-07-22,guòyúxīngfèn,Too excited,4
103,调情,2022-07-05,diàoqíng,flirt,4
101,严格,2022-07-05,yángé,strict,4
108,四点半还醒着,2022-06-29,sìdiǎnbànhuánxǐngzháo,Wake up at 4:30,4
102,辩护,2022-07-05,biànhù,defend,4
226,开发,2022-06-10,kāifā,Develop,4
167,惊喜,2022-06-22,liángxǐ,surprise,4
31,笑话,2022-07-21,xiàohuà,joke,4
166,惊讶,2022-06-22,liángyà,surprise,4
90,原则,2022-07-13,yuánzé,in principle,4
120,谦虚,2022-06-29,qiānxū,modesty,4
48,志愿者,2022-07-15,zhìyuànzhě,volunteer,4
114,状态,2022-06-29,zhuàngtài,state,4
206,长远,2022-06-15,chángyuǎn,long,4
126,谎话,2022-06-29,huǎnghuà,lie,4
228,单身,2022-06-10,dānshēn,single,4
77,非虚构,2022-07-14,fēixūgōu,Non -fiction,4
109,担心,2022-06-29,dànxīn,Worry,4
192,即兴,2022-06-17,jíxīng,impromptu,4
177,抑郁症,2022-06-17,yìyùzhèng,depression,4
57,风险,2022-07-15,fēngxiǎn,risk,4
190,心流状态,2022-06-17,xīnlíuzhuàngtài,State of mind,4
60,小说,2022-07-15,xiǎoshuō,novel,4
128,诚实,2022-06-29,chéngshí,honest,4
182,绕过,2022-06-17,ràoguò,Bypassed,4
33,体面的死亡,2022-07-21,tǐmiàndesǐwáng,Decent death,5
6,你做过的最调皮的事是什么,2022-07-22,nǐzuòguòdezùidiàopídeshìshìshíyāo,What are the most naughty things you have done,5
95,我对他们没有信心,2022-07-05,wǒdùitāmenméiyǒuxìnxīn,I have no confidence in them,5
213,吸收新鲜的事物,2022-06-10,xīshōuxīnxiāndeshìwù,Absorb fresh things,5
69,不要脸脸皮很厚,2022-07-14,bùyàoliǎnliǎnpíhěnhòu,Faceable and thick -skinned,5
11,从我小的时候开始,2022-07-22,cóngwǒxiǎodeshíhòukāishǐ,Starting from my childhood,5
97,我担心他们,2022-07-05,wǒdànxīntāmen,I worry about them,5
129,高级的诚实是用更高级的方式表达真相,2022-06-29,gāojídechéngshíshìyònggènggāojídefāngshìbiǎodázhēnxiāng,High -level honesty is to express the truth in a more advanced way,5
117,追求精神的,2022-06-29,zhūiqíujīngshénde,Pursuing,5
39,有趣的,2022-07-21,yǒuqùde,interesting,5
195,明智的决定,2022-06-15,míngzhìdejuédìng,a wise decision,5
122,经济困难的人,2022-06-29,jīngjìkùnnánderén,People with economic difficulties,5
159,意识到,2022-06-22,yìshìdào,Aware,5
227,私人的,2022-06-10,sīrénde,private,5
185,不一定,2022-06-17,bùyīdìng,uncertain,5
143,倒了,2022-06-23,dǎole,fall down,5
96,我不相信他们,2022-07-05,wǒbùxiāngxìntāmen,I don't believe them,5
21,如果没有执照他们前期投入的成本就浪费了,2022-07-22,rúguǒméiyǒuzhízhàotāmenqiánqītóurùdechéngběnjìulàngfèile,"If there is no license, the cost they invested in the early stage would be wasted",5
67,必需品,2022-07-14,bìxūpǐn,necessity,6
54,普及,2022-07-15,pǔjí,universal,6
204,过程,2022-06-15,guòchéng,process,6
10,理科,2022-07-22,lǐkē,science,6
8,期末考试,2022-07-22,qīmòkǎoshì,Final exam,6
222,第一代,2022-06-10,dìyīdài,First generation,6
137,思路,2022-06-23,sīlù,Thinking,6
151,需求,2022-06-22,xūqíu,need,6
7,反应,2022-07-22,fǎnyìng,reaction,6
28,理由,2022-07-21,lǐyóu,reason,6
116,数量,2022-06-29,shùliàng,quantity,6
19,化学成分,2022-07-22,huàxuéchéngfēn,chemical composition,6
20,研发成本,2022-07-22,yánfāchéngběn,R & D cost,6
164,经历,2022-06-22,jīnglì,experience,6
174,多巴胺,2022-06-17,duōbāè,Dopamine,6
168,理论,2022-06-22,lǐlùn,theory,6
214,工程师,2022-06-10,gōngchéngshī,engineer,6
119,分辨,2022-06-29,fēnbiàn,Distinguish,6
110,病例,2022-06-29,bìnglì,Case,6
149,解雇,2022-06-22,jiěgù,Dismiss,6
135,列表,2022-06-23,lièbiǎo,List,6
65,成本,2022-07-14,chéngběn,cost,6
86,模仿,2022-07-13,mófǎng,imitate,6
138,分享,2022-06-23,fēnxiǎng,share,6
38,加入,2022-07-21,jiārù,join in,6
63,原料,2022-07-14,yuánliào,raw material,6
130,陷阱,2022-06-29,xiànjǐng,trap,6
14,病人,2022-07-22,bìngrén,patient,6
211,年代,2022-06-10,niándài,Era,6
80,取代,2022-07-13,qǔdài,replace,6
22,效果,2022-07-22,xiàoguǒ,Effect,6
49,批准,2022-07-15,pīzhǔn,approve,6
125,力量,2022-06-29,lìliàng,strength,6
44,病例,2022-07-15,bìnglì,Case,6
220,收入,2022-06-10,shōurù,income,6
93,策略,2022-07-05,cèlvè,Strategy,6
13,毒品,2022-07-22,dúpǐn,poison,6
165,研究生,2022-06-22,yánjīushēng,postgraduate,6
140,重复,2022-06-23,zhòngfù,repeat,6
145,线上办公,2022-06-23,xiànshàngbàngōng,Online office,7
155,一份工作,2022-06-22,yīfèngōngzuò,a job,7
194,青年旅社,2022-06-15,qīngniánlv̌shè,Youth Hotel,7
219,职位,2022-06-10,zhíwèi,Position,7
84,老一辈,2022-07-13,lǎoyībèi,Older generation,7
169,企业文化,2022-06-22,qǐyèwénhuà,company culture,7
154,创业公司,2022-06-22,chuàngyègōngsī,Start-up companies,7
156,工作狂,2022-06-22,gōngzuòkuáng,Workaholic,7
113,企业文化,2022-06-29,qǐyèwénhuà,company culture,7
62,对外贸易逆差,2022-07-14,dùiwàimàoyìnìchà,Foreign trade deficit,7
30,竞争对手,2022-07-21,jìngzhēngdùishǒu,Rival,7
160,职业方向,2022-06-22,zhíyèfāngxiàng,Career,7
186,女性朋友,2022-06-17,nv̌xìngpéngyǒu,Female friend,7
208,幸福感,2022-06-15,xìngfúgǎn,Happiness,7
35,旅行爱好者,2022-07-21,lv̌xíngàihǎozhě,Traveler,7
59,体验很差,2022-07-15,tǐyànhěnchà,Poor experience,7
210,绿色食品商店,2022-06-10,lv̀sèshípǐnshāngdiàn,Green Food Store,7
207,人生哲学,2022-06-15,rénshēngzhéxué,Philosophy of life,7
64,成百上千,2022-07-14,chéngbǎishàngqiān,Thousands of thousands,7
179,停车的位置,2022-06-17,tíngchēdewèizhì,Parking position,7
133,打交道,2022-06-29,dǎjiāodào,Deal,7
176,心理健康,2022-06-17,xīnlǐjiànkāng,Psychological health,7
15,安眠药,2022-07-22,ānmiányào,Sleeping pill,7
2,滋生细菌,2022-07-22,zīshēngxìjūn,Breeding bacteria,7
223,非技术性的,2022-06-10,fēijìzhúxìngde,Non -technical,7
23,保健品,2022-07-22,bǎojiànpǐn,Health products,7
27,职位,2022-07-21,zhíwèi,Position,7
18,非处方药,2022-07-22,fēichùfāngyào,Non-prescription drugs,7
